1_Portfolio_identifying_data;2_Type_of_identification_code_for_the_fund_share_or_portfolio;3_Portfolio_name;4_Portfolio_currency_(B);5_Net_asset_valuation_of_the_portfolio_or_the_share_class_in_portfolio_currency;6_Valuation_date;7_Reporting_date;8_Share_price;8b_Total_number_of_shares;9_Cash_ratio;10_Portfolio_modified_duration;11_Complete_SCR_delivery;12_CIC_code_of_the_instrument;13_Economic_zone_of_the_quotation_place;14_Identification_code_of_the_instrument;15_Type_of_identification_code_for_the_instrument;16_Grouping_code_for_multiple_leg_instruments;17_Instrument_name;17b_Asset_liability;18_Quantity;19_Nominal_amount;20_Contract_size_for_derivatives;21_Quotation_currency_(A);22_Market_valuation_in_quotation_currency_(A);23_Clean_market_valuation_in_quotation_currency_(A);24_Market_valuation_in_portfolio_currency_(B);25_Clean_market_valuation_in_portfolio_currency_(B);26_Valuation_weight;27_Market_exposure_amount_in_quotation_currency_(A);28_Market_exposure_amount_in_portfolio_currency_(B);29_Market_exposure_amount_for_the_3rd_quotation_currency_(C);30_Market_exposure_in_weight;31_Market_exposure_for_the_3rd_currency_in_weight_over_NAV;32_Interest_rate_type;33_Coupon_rate;34_Interest_rate_reference_identification;35_Identification_type_for_interest_rate_index;36_Interest_rate_index_name;37_Interest_rate_margin;38_Coupon_payment_frequency;39_Maturity_date;40_Redemption_type;41_Redemption_rate;42_Callable_putable;43_Call_put_date;44_Issuer_bearer_option_exercise;45_Strike_price_for_embedded_(call_put)_options;46_Issuer_name;47_Issuer_identification_code;48_Type_of_identification_code_for_issuer;49_Name_of_the_group_of_the_issuer;50_Identification_of_the_group;51_Type_of_identification_code_for_issuer_group;52_Issuer_country;53_Issuer_economic_area;54_Economic_sector;55_Covered_not_covered;56_Securitisation;57_Explicit_guarantee_by_the_country_of_issue;58_Subordinated_debt;58b_Nature_of_the_tranche;59_Credit_quality_step;60_Call_Put_Cap_Floor;61_Strike_price;62_Conversion_factor_(convertibles)_concordance_factor_parity_(options);63_Effective_date_of_instrument;64_Exercise_type;65_Hedging_rolling;67_CIC_of_the_underlying_asset;68_Identification_code_of_the_underlying_asset;69_Type_of_identification_code_for_the_underlying_asset;70_Name_of_the_underlying_asset;71_Quotation_currency_of_the_underlying_asset_(C);72_Last_valuation_price_of_the_underlying_asset;73_Country_of_quotation_of_the_underlying_asset;74_Economic_area_of_quotation_of_the_underlying_asset;75_Coupon_rate_of_the_underlying_asset;76_Coupon_payment_frequency_of_the_underlying_asset;77_Maturity_date_of_the_underlying_asset;78_Redemption_profile_of_the_underlying_asset;79_Redemption_rate_of_the_underlying_asset;80_Issuer_name_of_the_underlying_asset;81_Issuer_identification_code_of_the_underlying_asset;82_Type_of_issuer_identification_code_of_the_underlying_asset;83_Name_of_the_group_of_the_issuer_of_the_underlying_asset;84_Identification_of_the_group_of_the_underlying_asset;85_Type_of_the_group_identification_code_of_the_underlying_asset;86_Issuer_country_of_the_underlying_asset;87_Issuer_economic_area_of_the_underlying_asset;88_Explicit_guarantee_by_the_country_of_issue_of_the_underlying_asset;89_Credit_quality_step_of_the_underlying_asset;90_Modified_duration_to_maturity_date;91_Modified_duration_to_next_option_exercise_date;92_Credit_sensitivity;93_Sensitivity_to_underlying_asset_price_(delta);94_Convexity_gamma_for_derivatives;94b_Vega;95_Identification_of_the_original_portfolio_for_positions_embedded_in_a_fund;97_SCR_mrkt_IR_up_weight_over_NAV;98_SCR_mrkt_IR_down_weight_over_NAV;99_SCR_mrkt_eq_type1_weight_over_NAV;100_SCR_mrkt_eq_type2_weight_over_NAV;101_SCR_mrkt_prop_weight_over_NAV;102_SCR_mrkt_spread_bonds_weight_over_NAV;103_SCR_mrkt_spread_structured_weight_over_NAV;104_SCR_mrkt_spread_derivatives_up_weight_over_NAV;105_SCR_mrkt_spread_derivatives_down_weight_over_NAV;105a_SCR_mrkt_FX_up_weight_over_NAV;105b_SCR_mrkt_FX_down_weight_over_NAV;106_Asset_pledged_as_collateral;107_Place_of_deposit;108_Participation;110_Valorisation_method;111_Value_of_acquisition;112_Credit_rating;113_Rating_agency;114_Issuer_economic_area;115_Fund_issuer_code;116_Fund_issuer_code_type;117_Fund_issuer_name;118_Fund_issuer_sector;119_Fund_issuer_group_code;120_Fund_issuer_group_code_type;121_Fund_issuer_group_name;122_Fund_issuer_country;123_Fund_CIC;123a_Fund_custodian_country;124_Duration;125_Accrued_income_(Security Denominated Currency);126_Accrued_income_(Portfolio Denominated Currency);127_Bond_floor_(convertible_instrument_only);128_Option_premium_(convertible_instrument_only);129_Valuation_yield;130_Valuation_z_spread;131_Underlying_asset_category;132_Infrastructure_investment;133_custodian_name;134_type1_private_equity_portfolio_eligibility;135_type1_private_equity_issuer_beta;137_counterparty_sector;138_Collateral_eligibility;139_Collateral_Market_valuation_in_portfolio_currency;1000_TPT_Version
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK11;;DK0009922320;1;;Kingdom of Denmark 4.50% 2039-11-15;;;161579774.8;;DKK;191079182.1;190182653.2;25583976.43;25463938.37;0.076939;191079182.1;25583976.43;;0.076939;;Fixed;4.5;;;;;1;15-11-2039;Bullet;;;;;;KINGDOM OF DENMARK;549300PTO6LS1PTM6607;1;Kingdom of Denmark;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;896529;120038;;;;;1;0;SEB AB;;;;;;V6.0
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK27;;DK0009798803;1;;Nykredit 2.5% 2027-10-01 Sinkable;;;8115603.445;;DKK;7599190.763;7549565.746;1017470.952;1010826.559;0.00306;7599190.763;1017470.952;;0.00306;;Fixed;2.5;;;;;4;01-10-2047;;;;;;;NYKREDIT REALKREDIT A/S;LIU16F6VZJSD6UKHD557;1;Forenet Kredit FMBA;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49625;6644.39;;;;;2;0;SEB AB;;;;;;V6.0
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK27;;DK0009504755;1;;Nykredit 2% 2047-10-01;;;39949704.11;;DKK;35850346.43;35654919.95;4800075.067;4773909.023;0.014435;35850346.43;4800075.067;;0.014435;;Fixed;2;;;;;4;01-10-2047;;;;;;;NYKREDIT REALKREDIT A/S;LIU16F6VZJSD6UKHD557;1;Forenet Kredit FMBA;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;195426;26166;;;;;2;0;SEB AB;;;;;;V6.0
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK27;;DK0002032895;1;;Nordea K Realk 2% 2047-10-01;;;17590609.95;;DKK;15818927.42;15732877.45;2118028.043;2106506.64;0.00637;15818927.42;2118028.043;;0.00637;;Fixed;2;;;;;4;01-10-2047;;;;;;;NORDEA KREDIT REALKREDIT;52990080NNXXLC14OC65;1;Nordea Bank AB;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86050;11521.4;;;;;2;0;SEB AB;;;;;;V6.0
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK26;;DK0004602570;1;;Realkredit Danmark A/S 1% 270401;;;117187833;;DKK;116697308.2;115820716.3;15624837.56;15507468.9;0.046989;116697308.2;15624837.56;;0.046989;;Fixed;1;;;;;1;01-04-2027;Bullet;;;;;;REALKREDIT DANMARK;549300NLOMBOWE943Y30;1;Danske Bank A/S;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;876592;117369;;;;;2;0;SEB AB;;;;;;V6.0
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK27;;DK0002039049;1;;Nordea K Realkredit 2% 2050-10-01 Sink;;;27890724.67;;DKK;24243643.48;24107207.27;3246030.24;3227762.521;0.009762;24243643.48;3246030.24;;0.009762;;Fixed;2;;;;;4;01-10-2050;;;;;;;NORDEA KREDIT REALKREDIT;52990080NNXXLC14OC65;1;Nordea Bank AB;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136436;18267.7;;;;;2;0;SEB AB;;;;;;V6.0
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK27;;DK0004616604;1;;Realkredit Danmark 0.5% 2053-10-01;;;6507607.22;;DKK;4547342.728;4539384.233;608852.874;607787.295;0.001831;4547342.728;608852.874;;0.001831;;Fixed;0.5;;;;;4;01-10-2053;;;;;;;REALKREDIT DANMARK;549300NLOMBOWE943Y30;1;Danske Bank A/S;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7958.5;1065.58;;;;;2;0;SEB AB;;;;;;V6.0
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK27;;DK0002051929;1;;Nordea Kredit Realkreditaktieselskab 1% 270401;;;68307346.51;;DKK;68013017.47;67502062.84;9106399.851;9037987.107;0.027386;68013017.47;9106399.851;;0.027386;;Fixed;1;;;;;1;01-04-2027;Bullet;;;;;;NORDEA KREDIT REALKREDIT;52990080NNXXLC14OC65;1;Nordea Bank AB;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;510955;68412.7;;;;;2;0;SEB AB;;;;;;V6.0
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK27;;DK0009540478;1;;Nykredit Realkredit AS 6% 531001;;;1337397.287;;DKK;1435505.672;1415878.781;192202.745;189574.861;0.000578;1435505.672;192202.745;;0.000578;;Fixed;6;;;;;4;01-10-2053;;;;;;;NYKREDIT REALKREDIT A/S;LIU16F6VZJSD6UKHD557;1;Forenet Kredit FMBA;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19626.9;2627.88;;;;;2;0;SEB AB;;;;;;V6.0
LU1545248863;1;SEB FUND 5 DAN MOR BD-IC EUR;EUR;332521278.7;31-12-2025;05-01-2026;;;0.02389;;N;DK27;;DK0006361852;1;;DLR Kredit A/S 3.5% 561001;;;18568126.52;;DKK;17938251.12;17779295.47;2401788.561;2380505.668;0.007223;17938251.12;2401788.561;;0.007223;;Fixed;3.5;;;;;4;01-10-2056;;;;;;;DLR KREDIT A/S;529900PR2ELW8QI1B775;1;DLR Kredit A/S;;;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158956;21282.9;;;;;2;0;SEB AB;;;;;;V6.0
