1_Portfolio_identifying_data;2_Type_of_identification_code_for_the_fund_share_or_portfolio;3_Portfolio_name;4_Portfolio_currency_(B);5_Net_asset_valuation_of_the_portfolio_or_the_share_class_in_portfolio_currency;6_Valuation_date;7_Reporting_date;8_Share_price;8b_Total_number_of_shares;9_Cash_ratio;10_Portfolio_modified_duration;11_Complete_SCR_delivery;12_CIC_code_of_the_instrument;13_Economic_zone_of_the_quotation_place;14_Identification_code_of_the_instrument;15_Type_of_identification_code_for_the_instrument;16_Grouping_code_for_multiple_leg_instruments;17_Instrument_name;17b_Asset_liability;18_Quantity;19_Nominal_amount;20_Contract_size_for_derivatives;21_Quotation_currency_(A);22_Market_valuation_in_quotation_currency_(A);23_Clean_market_valuation_in_quotation_currency_(A);24_Market_valuation_in_portfolio_currency_(B);25_Clean_market_valuation_in_portfolio_currency_(B);26_Valuation_weight;27_Market_exposure_amount_in_quotation_currency_(A);28_Market_exposure_amount_in_portfolio_currency_(B);29_Market_exposure_amount_for_the_3rd_quotation_currency_(C);30_Market_exposure_in_weight;31_Market_exposure_for_the_3rd_currency_in_weight_over_NAV;32_Interest_rate_type;33_Coupon_rate;34_Interest_rate_reference_identification;35_Identification_type_for_interest_rate_index;36_Interest_rate_index_name;37_Interest_rate_margin;38_Coupon_payment_frequency;39_Maturity_date;40_Redemption_type;41_Redemption_rate;42_Callable_putable;43_Call_put_date;44_Issuer_bearer_option_exercise;45_Strike_price_for_embedded_(call_put)_options;46_Issuer_name;47_Issuer_identification_code;48_Type_of_identification_code_for_issuer;49_Name_of_the_group_of_the_issuer;50_Identification_of_the_group;51_Type_of_identification_code_for_issuer_group;52_Issuer_country;53_Issuer_economic_area;54_Economic_sector;55_Covered_not_covered;56_Securitisation;57_Explicit_guarantee_by_the_country_of_issue;58_Subordinated_debt;58b_Nature_of_the_tranche;59_Credit_quality_step;60_Call_Put_Cap_Floor;61_Strike_price;62_Conversion_factor_(convertibles)_concordance_factor_parity_(options);63_Effective_date_of_instrument;64_Exercise_type;65_Hedging_rolling;67_CIC_of_the_underlying_asset;68_Identification_code_of_the_underlying_asset;69_Type_of_identification_code_for_the_underlying_asset;70_Name_of_the_underlying_asset;71_Quotation_currency_of_the_underlying_asset_(C);72_Last_valuation_price_of_the_underlying_asset;73_Country_of_quotation_of_the_underlying_asset;74_Economic_area_of_quotation_of_the_underlying_asset;75_Coupon_rate_of_the_underlying_asset;76_Coupon_payment_frequency_of_the_underlying_asset;77_Maturity_date_of_the_underlying_asset;78_Redemption_profile_of_the_underlying_asset;79_Redemption_rate_of_the_underlying_asset;80_Issuer_name_of_the_underlying_asset;81_Issuer_identification_code_of_the_underlying_asset;82_Type_of_issuer_identification_code_of_the_underlying_asset;83_Name_of_the_group_of_the_issuer_of_the_underlying_asset;84_Identification_of_the_group_of_the_underlying_asset;85_Type_of_the_group_identification_code_of_the_underlying_asset;86_Issuer_country_of_the_underlying_asset;87_Issuer_economic_area_of_the_underlying_asset;88_Explicit_guarantee_by_the_country_of_issue_of_the_underlying_asset;89_Credit_quality_step_of_the_underlying_asset;90_Modified_duration_to_maturity_date;91_Modified_duration_to_next_option_exercise_date;92_Credit_sensitivity;93_Sensitivity_to_underlying_asset_price_(delta);94_Convexity_gamma_for_derivatives;94b_Vega;95_Identification_of_the_original_portfolio_for_positions_embedded_in_a_fund;97_SCR_mrkt_IR_up_weight_over_NAV;98_SCR_mrkt_IR_down_weight_over_NAV;99_SCR_mrkt_eq_type1_weight_over_NAV;100_SCR_mrkt_eq_type2_weight_over_NAV;101_SCR_mrkt_prop_weight_over_NAV;102_SCR_mrkt_spread_bonds_weight_over_NAV;103_SCR_mrkt_spread_structured_weight_over_NAV;104_SCR_mrkt_spread_derivatives_up_weight_over_NAV;105_SCR_mrkt_spread_derivatives_down_weight_over_NAV;105a_SCR_mrkt_FX_up_weight_over_NAV;105b_SCR_mrkt_FX_down_weight_over_NAV;106_Asset_pledged_as_collateral;107_Place_of_deposit;108_Participation;110_Valorisation_method;111_Value_of_acquisition;112_Credit_rating;113_Rating_agency;114_Issuer_economic_area;115_Fund_issuer_code;116_Fund_issuer_code_type;117_Fund_issuer_name;118_Fund_issuer_sector;119_Fund_issuer_group_code;120_Fund_issuer_group_code_type;121_Fund_issuer_group_name;122_Fund_issuer_country;123_Fund_CIC;123a_Fund_custodian_country;124_Duration;125_Accrued_income_(Security Denominated Currency);126_Accrued_income_(Portfolio Denominated Currency);127_Bond_floor_(convertible_instrument_only);128_Option_premium_(convertible_instrument_only);129_Valuation_yield;130_Valuation_z_spread;131_Underlying_asset_category;132_Infrastructure_investment;133_custodian_name;134_type1_private_equity_portfolio_eligibility;135_type1_private_equity_issuer_beta;137_counterparty_sector;138_Collateral_eligibility;139_Collateral_Market_valuation_in_portfolio_currency;140_Custodian_identification_code;141_Type_of_custodian_identification_code;142_Bail-in_Rule;143_Maturity_date_expected;144_Modified_duration_to_maturity_date_expected;145_Credit_sensitivity_expected;146_PIK;147_Infrastructure_investment_additional_QRT;148_Economic_sector_NACE2.1;1000_TPT_Version
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3111200006;1;;ASAHI KASEI CORP NPV;;368167.394087543;;;JPY;513324255.5287269;513324255.5287269;2792303.42531991;2792303.42531991;0.0269478277851862;513324255.5287269;2792303.42531991;;0.0269478277851862;;;;;;;;;;;;;;;;Asahi Kasei Corp.;353800GPI4Z3MGDGN142;1;Asahi Kasei Corp.;353800GPI4Z3MGDGN142;1;JP;2;C2059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;0.0;0.0;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3830000000;1;;BROTHER INDUSTRIES LTD NPV;;103764.881048929;;;JPY;325085675.290478;325085675.290478;1768351.74815782;1768351.74815782;0.0170659241187338;325085675.290478;1768351.74815782;;0.0170659241187338;;;;;;;;;;;;;;;;Brother Industries Ltd.;549300O5FACQ67KI6R92;1;Brother Industries Ltd.;549300O5FACQ67KI6R92;1;JP;2;C2630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;0.0;0.0;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3493400000;1;;DIC CORP NPV;;9964.37456970035;;;JPY;37746516.95824021;36480767.3675876;205327.77763994;198442.545002849;0.00198156745473397;37746516.95824021;205327.77763994;;0.00198156745473397;;;;;;;;;;;;;;;;DIC Corp.;549300F1YB9ARLPUKB67;1;DIC Corp.;549300F1YB9ARLPUKB67;1;JP;2;C2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;1265749.59065261;6885.23263709047;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3667600005;1;;JGC Holdings Corp NPV;;256279.381595924;;;JPY;489034947.437858;489034947.437858;2660178.13131656;2660178.13131656;0.025672719343681;489034947.437858;2660178.13131656;;0.025672719343681;;;;;;;;;;;;;;;;JGC Holdings Corp.;5493003WMGG79YLARU68;1;JGC Holdings Corp.;5493003WMGG79YLARU68;1;JP;2;M7010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;0.0;0.0;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3890350006;1;;SUMITOMO MITSUI FINANCIAL GR NPV;;162370.56669746;;;JPY;820676547.098143;820676547.098143;4464191.80247293;4464191.80247293;0.0430828078360782;820676547.098143;4464191.80247293;;0.0430828078360782;;;;;;;;;;;;;;;;Sumitomo Mitsui Financial Group Inc.;35380028MYWPB6AUO129;1;Sumitomo Mitsui Financial Group Inc.;35380028MYWPB6AUO129;1;JP;2;K6420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;0.0;0.0;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3885780001;1;;MIZUHO FINANCIAL GROUP INC NPV;;142934.620865582;;;JPY;819967751.796416;819967751.796416;4460336.20529912;4460336.20529912;0.0430455984240542;819967751.796416;4460336.20529912;;0.0430455984240542;;;;;;;;;;;;;;;;Mizuho Financial Group Inc.;353800CI5L6DDAN5XZ33;1;Mizuho Financial Group Inc.;353800CI5L6DDAN5XZ33;1;JP;2;K6420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;0.0;0.0;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3973400009;1;;RICOH CO LTD NPV;;75008.9957418041;;;JPY;103410499.551182;103410499.551182;562516.750379138;562516.750379138;0.005428709637371489;103410499.551182;562516.750379138;;0.005428709637371489;;;;;;;;;;;;;;;;Ricoh Co. Ltd.;549300HFIB2GRUMDID72;1;Ricoh Co. Ltd.;549300HFIB2GRUMDID72;1;JP;2;M7010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;0.0;0.0;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3347200002;1;;SHIONOGI & CO LTD NPV;;49291.161594246;;;JPY;140341931.630317;140341931.630317;763410.752924018;763410.752924018;0.00736748782836839;140341931.630317;763410.752924018;;0.00736748782836839;;;;;;;;;;;;;;;;Shionogi & Co. Ltd.;35380049VXDTHZI3DY35;1;Shionogi & Co. Ltd.;35380049VXDTHZI3DY35;1;JP;2;C2120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;0.0;0.0;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3463000004;1;;TAKEDA PHARMACEUTICAL CO LTD NPV;;121267.521597446;;;JPY;587901687.579984;587901687.579984;3197978.42844984;3197978.42844984;0.030862896621177;587901687.579984;3197978.42844984;;0.030862896621177;;;;;;;;;;;;;;;;Takeda Pharmaceutical Co. Ltd.;549300ZLMVP4X0OGR454;1;Takeda Pharmaceutical Co. Ltd.;549300ZLMVP4X0OGR454;1;JP;2;C2120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;0.0;0.0;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
LU1127229638;1;Eastspring Inv Japan Dynamic Fund Class Ce EUR;EUR;103618868.562567;2025-12-30;2026-01-14;27.6356566969044;3749462.866;0.00505523997148319;;N;JP31;2;JP3595200001;1;;TOSOH CORP NPV;;120493.116399909;;;JPY;283857200.6784949;283857200.6784949;1544083.34540881;1544083.34540881;0.0149015653888988;283857200.6784949;1544083.34540881;;0.0149015653888988;;;;;;;;;;;;;;;;Tosoh Corp.;529900YSLFVJF2MDBX02;1;Tosoh Corp.;529900YSLFVJF2MDBX02;1;JP;2;C2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;549300IZT8X70I77DH52;1;Eastspring Investments SICAV - Japan Dynamic Fund;K6630;549300CTO19FMZZDK326;1;Eastspring Investments SICAV;LU;XL41;LU;;0.0;0.0;;;;;3L;0.0;;0.0;;;;;;;;;;;;;;V7.0
