"1_Portfolio_identifying_data","2_Type_of_identification_code_for_the_fund_share_or_portfolio","3_Portfolio_name","4_Portfolio_currency_(B)","5_Net_asset_valuation_of_the_portfolio_or_the_share_class_in_portfolio_currency","6_Valuation_date","7_Reporting_date","8_Share_price","8b_Total_number_of_shares","9_Cash_ratio","10_Portfolio_modified_duration","11_Complete_SCR_delivery","12_CIC_code_of_the_instrument","13_Economic_zone_of_the_quotation_place","14_Identification_code_of_the_instrument","15_Type_of_identification_code_for_the_instrument","16_Grouping_code_for_multiple_leg_instruments","17_Instrument_name","17b_Asset_liability","18_Quantity","19_Nominal_amount","20_Contract_size_for_derivatives","21_Quotation_currency_(A)","22_Market_valuation_in_quotation_currency_(A)","23_Clean_market_valuation_in_quotation_currency_(A)","24_Market_valuation_in_portfolio_currency_(B)","25_Clean_market_valuation_in_portfolio_currency_(B)","26_Valuation_weight","27_Market_exposure_amount_in_quotation_currency_(A)","28_Market_exposure_amount_in_portfolio_currency_(B)","29_Market_exposure_amount_for_the_3rd_quotation_currency_(C)","30_Market_exposure_in_weight","31_Market_exposure_for_the_3rd_currency_in_weight_over_NAV","32_Interest_rate_type","33_Coupon_rate","34_Interest_rate_reference_identification","35_Identification_type_for_interest_rate_index","36_Interest_rate_index_name","37_Interest_rate_margin","38_Coupon_payment_frequency","39_Maturity_date","40_Redemption_type","41_Redemption_rate","42_Callable_putable","43_Call_put_date","44_Issuer_bearer_option_exercise","45_Strike_price_for_embedded_(call_put)_options","46_Issuer_name","47_Issuer_identification_code","48_Type_of_identification_code_for_issuer","49_Name_of_the_group_of_the_issuer","50_Identification_of_the_group","51_Type_of_identification_code_for_issuer_group","52_Issuer_country","53_Issuer_economic_area","54_Economic_sector","55_Covered_not_covered","56_Securitisation","57_Explicit_guarantee_by_the_country_of_issue","58_Subordinated_debt","58b_Nature_of_the_tranche","59_Credit_quality_step","60_Call_Put_Cap_Floor","61_Strike_price","62_Conversion_factor_(convertibles)_concordance_factor_parity_(options)","63_Effective_date_of_instrument","64_Exercise_type","65_Hedging_rolling","67_CIC_of_the_underlying_asset","68_Identification_code_of_the_underlying_asset","69_Type_of_identification_code_for_the_underlying_asset","70_Name_of_the_underlying_asset","71_Quotation_currency_of_the_underlying_asset_(C)","72_Last_valuation_price_of_the_underlying_asset","73_Country_of_quotation_of_the_underlying_asset","74_Economic_area_of_quotation_of_the_underlying_asset","75_Coupon_rate_of_the_underlying_asset","76_Coupon_payment_frequency_of_the_underlying_asset","77_Maturity_date_of_the_underlying_asset","78_Redemption_profile_of_the_underlying_asset","79_Redemption_rate_of_the_underlying_asset","80_Issuer_name_of_the_underlying_asset","81_Issuer_identification_code_of_the_underlying_asset","82_Type_of_issuer_identification_code_of_the_underlying_asset","83_Name_of_the_group_of_the_issuer_of_the_underlying_asset","84_Identification_of_the_group_of_the_underlying_asset","85_Type_of_the_group_identification_code_of_the_underlying_asset","86_Issuer_country_of_the_underlying_asset","87_Issuer_economic_area_of_the_underlying_asset","88_Explicit_guarantee_by_the_country_of_issue_of_the_underlying_asset","89_Credit_quality_step_of_the_underlying_asset","90_Modified_duration_to_maturity_date","91_Modified_duration_to_next_option_exercise_date","92_Credit_sensitivity","93_Sensitivity_to_underlying_asset_price_(delta)","94_Convexity_gamma_for_derivatives","94b_Vega","95_Identification_of_the_original_portfolio_for_positions_embedded_in_a_fund","97_SCR_mrkt_IR_up_weight_over_NAV","98_SCR_mrkt_IR_down_weight_over_NAV","99_SCR_mrkt_eq_type1_weight_over_NAV","100_SCR_mrkt_eq_type2_weight_over_NAV","101_SCR_mrkt_prop_weight_over_NAV","102_SCR_mrkt_spread_bonds_weight_over_NAV","103_SCR_mrkt_spread_structured_weight_over_NAV","104_SCR_mrkt_spread_derivatives_up_weight_over_NAV","105_SCR_mrkt_spread_derivatives_down_weight_over_NAV","105a_SCR_mrkt_FX_up_weight_over_NAV","105b_SCR_mrkt_FX_down_weight_over_NAV","106_Asset_pledged_as_collateral","107_Place_of_deposit","108_Participation","110_Valorisation_method","111_Value_of_acquisition","112_Credit_rating","113_Rating_agency","114_Issuer_economic_area","115_Fund_issuer_code","116_Fund_issuer_code_type","117_Fund_issuer_name","118_Fund_issuer_sector","119_Fund_issuer_group_code","120_Fund_issuer_group_code_type","121_Fund_issuer_group_name","122_Fund_issuer_country","123_Fund_CIC","123a_Fund_custodian_country","124_Duration","125_Accrued_income_(Security Denominated Currency)","126_Accrued_income_(Portfolio Denominated Currency)","127_Bond_floor_(convertible_instrument_only)","128_Option_premium_(convertible_instrument_only)","129_Valuation_yield","130_Valuation_z_spread","131_Underlying_asset_category","132_Infrastructure_investment","133_custodian_name","134_type1_private_equity_portfolio_eligibility","135_type1_private_equity_issuer_beta","137_counterparty_sector","138_collateral_eligibility","139_collateral_market_valuation_in_portfolio_currency","140_Custodian_identification_code","141_Type_of_custodian_identification_code","142_Bail-in_Rule","143_Maturity_date_expected","144_Modified_duration_to_maturity_date_expected","145_Credit_sensitivity_expected","146_PIK","147_Infrastructure_investment_additional_QRT","148_Economic_sector_NACE2.1","1000_TPT_Version"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","US31","2","US78781J1097","1","","SAILPOINT (SAIL US, Common Stock)","","35131.282368406013","","","USD","710705.84231285367","710705.84231285367","605139.29270113981","605139.29270113981","0.0077524928639817045","710705.84231285367","605139.29270113981","","0.0077524928639817045","","","","","","","","","","","","","","","","SailPoint, Inc.","","9","THOMA BRAVO LLC","5493001G651ICQ33SN58","1","US","2","J","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0","-0","0.0036359191532074195","-0","-0","0","0","-0","-0","-0.0019381232159954244","0.0019381232158500684","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","US31","2","US1725731079","1","","CIRCLE INTERNET (CRCL US, Common Stock)","","4954.9668469771968","","","USD","392928.87096529169","392928.87096529169","334564.15425543167","334564.15425543167","0.004286130895304897","392928.87096529169","334564.15425543167","","0.004286130895304897","","","","","","","","","","","","","","","","Circle Internet Group, Inc.","254900HFVVR6NPMQVN93","1","CIRCLE INTERNET GROUP INC","254900HFVVR6NPMQVN93","1","US","2","J","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0","-0","0.0020101953898979969","-0","-0","0","0","-0","-0","-0.0010715327238262227","0.0010715327237458602","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","US31","2","US1421521071","1","","CARIS LIFE (CAI US, Common Stock)","","14345.823085751663","","","USD","387050.30685357988","387050.30685357988","329558.77802680392","329558.77802680392","0.0042220065788673182","387050.30685357988","329558.77802680392","","0.0042220065788673182","","","","","","","","","","","","","","","","Caris Life Sciences, Inc.","549300LX5LO78M5VPY43","1","CARIS LIFE SCIENCES INC","549300LX5LO78M5VPY43","1","US","2","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0","-0","0.0019801210854887724","-0","-0","0","0","-0","-0","-0.0010555016447168285","0.0010555016446376678","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","HK31","3","KYG875721634","1","","TENCENT HOLDINGS (700 HK, Common Stock)","","18507.546248029415","","","HKD","11086020.202569621","11086020.202569621","1212735.8155225455","1212735.8155225455","0.015536465519810159","11086020.202569621","1212735.8155225455","","0.015536465519810159","","","","","","","","","","","","","","","","Tencent Holdings Ltd.","254900N4SLUMW4XUYY11","1","TENCENT HOLDINGS LTD","254900N4SLUMW4XUYY11","1","KY","3","J","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","9","","","","","","","","","","","","-0","-0","-0","0.0088402488807719833","-0","0","0","-0","-0","-0.0038841163799525355","0.0038841163796612325","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","US31","2","US90184D1000","1","","TWIST BIOSCIENCE (TWST US, Common Stock)","","11989.248560387727","","","USD","380298.96433549869","380298.96433549869","323810.26381327317","323810.26381327317","0.0041483618561457608","380298.96433549869","323810.26381327322","","0.0041483618561457616","","","","","","","","","","","","","","","","Twist Bioscience Corp.","549300T23BL59LCOH584","1","TWIST BIOSCIENCE CORP","549300T23BL59LCOH584","1","US","2","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0","-0","0.0019455817105323624","-0","-0","0","0","-0","-0","-0.0010370904640364393","0.0010370904639586593","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","US31","2","US22788C1053","1","","CROWDSTRIKE HLDG (CRWD US, Common Stock)","","958.78635004118","","","USD","449440.68944530352","449440.68944530352","382681.84209230152","382681.84209230152","0.0049025708391094748","449440.68944530352","382681.84209230152","","0.0049025708391094748","","","","","","","","","","","","","","","","CrowdStrike Holdings, Inc.","549300YBY08K9KM4HX32","1","CROWDSTRIKE HOLDINGS INC","549300YBY08K9KM4HX32","1","US","2","J","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","9","","","","","","","","","","","","-0","-0","0.0022993057235423434","-0","-0","0","0","-0","-0","-0.0012256427097773672","0.0012256427096854461","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","US31","2","US18915M1071","1","","CLOUDFLARE (NET US, Common Stock)","","2013.2922444310507","","","USD","396920.56598958164","396920.56598958164","337962.93242758879","337962.93242758879","0.0043296729423074826","396920.56598958164","337962.93242758879","","0.0043296729423074826","","","","","","","","","","","","","","","","Cloudflare, Inc.","5493007DY18BGNLDWU14","1","CLOUDFLARE INC","5493007DY18BGNLDWU14","1","US","2","J","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","9","","","","","","","","","","","","-0","-0","0.0020306166099422094","-0","-0","0","0","-0","-0","-0.0010824182355768693","0.0010824182354956901","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","HK31","3","KYG017191142","1","","ALIBABA (9988 HK, Common Stock)","","53233.500979885939","","","HKD","7601743.939927713","7601743.939927713","831579.49994038069","831579.49994038069","0.010653438335403489","7601743.939927713","831579.49994038069","","0.010653438335403489","","","","","","","","","","","","","","","","Alibaba Group Holding Ltd.","5493001NTNQJDH60PM02","1","ALIBABA GROUP HOLDING LTD","5493001NTNQJDH60PM02","1","KY","3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","9","","","","","","","","","","","","-0","-0","-0","0.0060618064128445861","-0","0","0","-0","-0","-0.0026633595838508706","0.002663359583651121","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","CN31","3","CNE100003662","1","","CATL (300750 C2, Common Stock)","","14174.977398562356","","","CNY","5205902.1993960105","5205902.1993960105","634306.63499772747","634306.63499772747","0.0081261582592765391","5205902.1993960105","634306.63499772747","","0.0081261582592765391","","","","","","","","","","","","","","","","Contemporary Amperex Technolog","300300KINDY1K0E9I032","1","CONTEMPORARY AMPEREX TECHNOLOG","300300KINDY1K0E9I032","1","CN","3","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","9","","","","","","","","","","","","-0","-0","-0","0.00462378404952835","-0","0","0","-0","-0","-0.0020315395648191322","0.0020315395646667705","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
"LU1833932947","1","ODDO BHF Artificial Intelligence","EUR","78057381.453730017","2025-12-31","2025-12-31","1887.97","41344.609","0.042316191483524973","0","Y","US31","2","US8334451098","1","","SNOWFLAKE (SNOW US, Common Stock)","","3976.2941650076186","","","USD","872239.88803607132","872239.88803607132","742679.45679771074","742679.45679771074","0.0095145320399704671","872239.88803607132","742679.45679771074","","0.0095145320399704671","","","","","","","","","","","","","","","","Snowflake, Inc.","254900CJNSY1K7T53Z16","1","SNOWFLAKE INC","254900CJNSY1K7T53Z16","1","US","2","J","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0","-0","0.0044623155267461473","-0","-0","0","0","-0","-0","-0.002378633009992615","0.0023786330098142204","","LU","","1","","","","","969500PM0E65UZXZGK64","1","ODDO BHF AM SAS","K6630","9695002I9DJHZ3449O66","1","ODDO BHF SCA","LU","","LU","0","","","","","","","3L","0","CACEIS Bank (Luxembourg)","0","","","","","","","","","","","","","","V7.0"
