"1_Portfolio_identifying_data";"2_Type_of_identification_code_for_the_fund_share_or_portfolio";"3_Portfolio_name";"4_Portfolio_currency_(B)";"5_Net_asset_valuation_of_the_portfolio_or_the_share_class_in_portfolio_currency";"6_Valuation_date";"7_Reporting_date";"8_Share_price";"8b_Total_number_of_shares";"9_Cash_ratio";"10_Portfolio_Modified_Duration";"11_Complete_SCR_Delivery";"12_CIC_code_of_the_instrument";"13_Economic_zone_of_the_quotation_place";"14_Identification_code_of_the_instrument";"15_Type_of_identification_code_for_the_instrument";"16_Grouping_code_for_multiple_leg_instruments";"17_Instrument_name";"17b_Asset_Liability";"18_Quantity";"19_Nominal_amount";"20_Contract_size_for_derivatives";"21_Quotation_currency_(A)";"22_Market_valuation_in_quotation_currency_(A)";"23_Clean_market_valuation_in_quotation_currency_(A)";"24_Market_valuation_in_portfolio_currency_(B)";"25_Clean_market_valuation_in_portfolio_currency_(B)";"26_Valuation_weight";"27_Market_exposure_amount_in_quotation_currency_(A)";"28_Market_exposure_amount_in_portfolio_currency_(B)";"29_Market_exposure_amount_for_the_3rd_quotation_currency_(C)";"30_Market_Exposure_in_weight";"31_Market_exposure_for_the_3rd_currency_in_weight_over_NAV";"32_Interest_rate_type";"33_Coupon_rate";"34_Interest_rate_reference_identification";"35_Identification_type_for_interest_rate_index";"36_Interest_rate_index_name";"37_Interest_rate_Margin";"38_Coupon_payment_frequency";"39_Maturity_date";"40_Redemption_type";"41_Redemption_rate";"42_Callable_putable";"43_Call_put_date";"44_Issuer_bearer_option_exercise";"45_Strike_price_for_embedded_(call_put)_options";"46_Issuer_name";"47_Issuer_identification_code";"48_Type_of_identification_code_for_issuer";"49_Name_of_the_group_of_the_issuer";"50_Identification_of_the_group";"51_Type_of_identification_code_for_issuer_group";"52_Issuer_country";"53_Issuer_economic_area";"54_Economic_sector";"55_Covered_not_covered";"56_Securitisation";"57_Explicit_guarantee_by_the_country_of_issue";"58_Subordinated_debt";"58b_Nature_of_the_tranche";"59_Credit_quality_step";"60_Call_Put_Cap_Floor";"61_Strike_price";"62_Conversion_factor_(convertibles)_concordance_factor_parity_(options)";"63_Effective_date_of_instrument";"64_Exercise_type";"65_Hedging_rolling";"67_CIC_of_the_underlying_asset";"68_Identification_code_of_the_underlying_asset";"69_Type_of_identification_code_for_the_underlying_asset";"70_Name_of_the_underlying_asset";"71_Quotation_currency_of_the_underlying_asset_(C)";"72_Last_valuation_price_of_the_underlying_asset";"73_Country_of_quotation_of_the_underlying_asset";"74_Economic_area_of_quotation_of_the_underlying_asset";"75_Coupon_rate_of_the_underlying_asset";"76_Coupon_payment_frequency_of_the_underlying_asset";"77_Maturity_date_of_the_underlying_asset";"78_Redemption_profile_of_the_underlying_asset";"79_Redemption_rate_of_the_underlying_asset";"80_Issuer_name_of_the_underlying_asset";"81_Issuer_identification_code_of_the_underlying_asset";"82_Type_of_issuer_identification_code_of_the_underlying_asset";"83_Name_of_the_group_of_the_issuer_of_the_underlying_asset";"84_Identification_of_the_group_of_the_underlying_asset";"85_Type_of_the_group_identification_code_of_the_underlying_asset";"86_Issuer_country_of_the_underlying_asset";"87_Issuer_economic_area_of_the_underlying_asset";"88_Explicit_guarantee_by_the_country_of_issue_of_the_underlying_asset";"89_Credit_quality_step_of_the_underlying_asset";"90_Modified_duration_to_maturity_date";"91_Modified_duration_to_next_option_exercise_date";"92_Credit_sensitivity";"93_Sensitivity_to_underlying_asset_price_(delta)";"94_Convexity_gamma_for_derivatives";"94b_Vega";"95_Identification_of_the_original_portfolio_for_positions_embedded_in_a_fund";"97_SCR_mrkt_IR_up_weight_over_NAV";"98_SCR_mrkt_IR_down_weight_over_NAV";"99_SCR_mrkt_eq_type1_weight_over_NAV";"100_SCR_mrkt_eq_type2_weight_over_NAV";"101_SCR_mrkt_prop_weight_over_NAV";"102_SCR_mrkt_spread_bonds_weight_over_NAV";"103_SCR_mrkt_spread_structured_weight_over_NAV";"104_SCR_mrkt_spread_derivatives_up_weight_over_NAV";"105_SCR_mrkt_spread_derivatives_down_weight_over_NAV";"105a_SCR_mrkt_FX_up_weight_over_NAV";"105b_SCR_mrkt_FX_down_weight_over_NAV";"106_Asset_pledged_as_collateral";"107_Place_of_deposit";"108_Participation";"110_Valorisation_method";"111_Value_of_acquisition";"112_Credit_rating";"113_Rating_agency";"114_Issuer_economic_area";"115_Fund_issuer_code";"116_Fund_issuer_code_type";"117_Fund_issuer_name";"118_Fund_issuer_sector";"119_Fund_issuer_group_code";"120_Fund_issuer_group_code_type";"121_Fund_issuer_group_name";"122_Fund_issuer_country";"123_Fund_CIC";"123a_Fund_custodian_country";"124_Duration";"125_Accrued_income_(Security Denominated Currency)";"126_Accrued_income_(Portfolio Denominated Currency)";"127_Bond_floor_(convertible_instrument_only)";"128_Option_premium_(convertible_instrument_only)";"129_Valuation_yield";"130_Valuation_z_spread";"131_Underlying_asset_category";"132_Infrastructure_investment";"133_custodian_name";"134_type1_private_equity_portfolio_eligibility";"135_type1_private_equity_issuer_beta";"137_Counterparty_sector";"138_Collateral_eligibility";"139_Collateral_market_valuation_in_portfolio_currency";"140_Custodian_identification_code";"141_Type_of_custodian_identification_code";"142_Bail-in_Rule";"143_Maturity_date_expected";"144_Modified_duration_to_maturity_date_expected";"145_Credit_sensitivity_expected";"146_PIK";"147_Infrastructure_investment_additional_QRT";"148_Economic_sector_NACE2.1";"1000_TPT_Version"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"NL31";"1";"NL0010273215";"1";"";"ASML HOLDING NV";"";"395952";;"";"EUR";"364830172.8000";"364830172.8000";"364830172.8000";"364830172.8000";"0.030717125";"364830172.8000";"364830172.8000";;"0.030717125";;"";"0";"";"";;"";"2";;"";;"";;"";;"ASML HOLDING NV";"724500Y6DUVHQD6OXN27";"1";"ASML HOLDING NV";"724500Y6DUVHQD6OXN27";"1";"NL";"1";"C2899";"NC";;"N";"N";;"";;"";;"1995-03-17";;"";;"";;"";;"";;"";;"";;"";;"ASML HOLDING NV";"724500Y6DUVHQD6OXN27";"1";"ASML HOLDING NV";"724500Y6DUVHQD6OXN27";"1";"NL";"1";;"2";"0";;"0";;"0";;"";"0";"0";"0.01417";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";;"";"1";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"CH31";"2";"CH0012032048";"1";"";"ROCHE HOLDING PAR AG";"";"714970";;"";"CHF";"234653154.0000";"234653154.0000";"252191018.6678";"252191018.6678";"0.0212333949257";"234653154.0000";"252191018.6678";;"0.0212333949257";;"";"0";"";"";;"";"4";;"";;"";;"";;"ROCHE HOLDING AG";"549300U41AUUVOAAOB37";"1";"ROCHE HOLDING AG";"549300U41AUUVOAAOB37";"1";"CH";"1";"C2120";"NC";;"N";"N";;"";;"";;"1989-06-07";;"";;"";;"";;"";;"";;"";;"";;"ROCHE HOLDING AG";"549300U41AUUVOAAOB37";"1";"ROCHE HOLDING AG";"549300U41AUUVOAAOB37";"1";"CH";"1";;"1";"0";;"0";;"0";;"";"0";"0";"0.00979";"0";"0";"0";"0";"0";"0";"-0.00531";"0.00531";"";"";"";"";"";;"";"1";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"GB31";"2";"GB0009895292";"1";"";"ASTRAZENECA PLC";"";"1577736";;"";"GBP";"217569794.4000";"217569794.4000";"249173870.2863";"249173870.2863";"0.020979364058683";"217569794.4000";"249173870.2863";;"0.020979364058683";;"";"0";"";"";;"";"2";;"";;"";;"";;"ASTRAZENECA PLC";"PY6ZZQWO2IZFZC3IOL08";"1";"ASTRAZENECA PLC";"PY6ZZQWO2IZFZC3IOL08";"1";"GB";"2";"C2120";"NC";;"N";"N";;"";;"";;"1993-05-12";;"";;"";;"";;"";;"";;"";;"";;"ASTRAZENECA PLC";"PY6ZZQWO2IZFZC3IOL08";"1";"ASTRAZENECA PLC";"PY6ZZQWO2IZFZC3IOL08";"1";"GB";"2";;"2";"0";;"0";;"0";;"";"0";"0";"0.00968";"0";"0";"0";"0";"0";"0";"-0.00524";"0.00524";"";"";"";"";"";;"";"2";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"GB31";"2";"GB0005405286";"1";"";"HSBC HOLDINGS PLC";"";"17518892";;"";"GBP";"205636754.2960";"205636754.2960";"235507442.9442";"235507442.9442";"0.019828709881898";"205636754.2960";"235507442.9442";;"0.019828709881898";;"";"0";"";"";;"";"0";;"";;"";;"";;"HSBC HOLDINGS PLC";"MLU0ZO3ML4LN2LL2TL39";"1";"HSBC HOLDINGS PLC";"MLU0ZO3ML4LN2LL2TL39";"1";"GB";"2";"K6419";"NC";;"N";"N";;"";;"";;"1992-07-10";;"";;"";;"";;"";;"";;"";;"";;"HSBC HOLDINGS PLC";"MLU0ZO3ML4LN2LL2TL39";"1";"HSBC HOLDINGS PLC";"MLU0ZO3ML4LN2LL2TL39";"1";"GB";"2";;"2";"0";;"0";;"0";;"";"0";"0";"0.00915";"0";"0";"0";"0";"0";"0";"-0.00496";"0.00496";"";"";"";"";"";;"";"2";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"CH31";"2";"CH0012005267";"1";"";"NOVARTIS AG";"";"1934420";;"";"CHF";"212012432.0000";"212012432.0000";"227858139.9179";"227858139.9179";"0.019184671593297";"212012432.0000";"227858139.9179";;"0.019184671593297";;"";"0";"";"";;"";"4";;"";;"";;"";;"NOVARTIS AG";"5493007HIVTX6SY6XD66";"1";"NOVARTIS AG";"5493007HIVTX6SY6XD66";"1";"CH";"1";"C2120";"NC";;"N";"N";;"";;"";;"1985-01-02";;"";;"";;"";;"";;"";;"";;"";;"NOVARTIS AG";"5493007HIVTX6SY6XD66";"1";"NOVARTIS AG";"5493007HIVTX6SY6XD66";"1";"CH";"1";;"1";"0";;"0";;"0";;"";"0";"0";"0.00885";"0";"0";"0";"0";"0";"0";"-0.0048";"0.0048";"";"";"";"";"";;"";"1";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"CH31";"2";"CH0038863350";"1";"";"NESTLE SA";"";"2621547";;"";"CHF";"206420610.7800";"206420610.7800";"221848388.6504";"221848388.6504";"0.018678676483943";"206420610.7800";"221848388.6504";;"0.018678676483943";;"";"0";"";"";;"";"4";;"";;"";;"";;"NESTLE SA";"KY37LUS27QQX7BB93L28";"1";"NESTLE SA";"KY37LUS27QQX7BB93L28";"1";"CH";"1";"C1083";"NC";;"N";"N";;"";;"";;"1985-01-02";;"";;"";;"";;"";;"";;"";;"";;"NESTLE SA";"KY37LUS27QQX7BB93L28";"1";"NESTLE SA";"KY37LUS27QQX7BB93L28";"1";"CH";"1";;"1";"0";;"0";;"0";;"";"0";"0";"0.00861";"0";"0";"0";"0";"0";"0";"-0.00467";"0.00467";"";"";"";"";"";;"";"1";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"DE31";"1";"DE0007164600";"1";"";"SAP";"";"1062436";;"";"EUR";"221358540.6000";"221358540.6000";"221358540.6000";"221358540.6000";"0.018637433393039";"221358540.6000";"221358540.6000";;"0.018637433393039";;"";"0";"";"";;"";"4";;"";;"";;"";;"SAP SE";"529900D6BF99LW9R2E68";"1";"SAP SE";"529900D6BF99LW9R2E68";"1";"DE";"1";"J5829";"NC";;"N";"N";;"";;"";;"1989-03-23";;"";;"";;"";;"";;"";;"";;"";;"SAP SE";"529900D6BF99LW9R2E68";"1";"SAP SE";"529900D6BF99LW9R2E68";"1";"DE";"1";;"2";"0";;"0";;"0";;"";"0";"0";"0.0086";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";;"";"1";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"GB31";"2";"GB00BP6MXD84";"1";"";"SHELL PLC";"";"5902272";;"";"GBP";"161722252.8000";"161722252.8000";"185213943.6576";"185213943.6576";"0.015594214386414";"161722252.8000";"185213943.6576";;"0.015594214386414";;"";"0";"";"";;"";"0";;"";;"";;"";;"SHELL PLC";"21380068P1DRHMJ8KU70";"1";"SHELL PLC";"21380068P1DRHMJ8KU70";"1";"GB";"2";"B0610";"NC";;"N";"N";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"SHELL PLC";"21380068P1DRHMJ8KU70";"1";"SHELL PLC";"21380068P1DRHMJ8KU70";"1";"GB";"2";;"1";"0";;"0";;"0";;"";"0";"0";"0.00719";"0";"0";"0";"0";"0";"0";"-0.0039";"0.0039";"";"";"";"";"";;"";"2";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"DE31";"1";"DE0007236101";"1";"";"SIEMENS N AG";"";"773280";;"";"EUR";"184929912.0000";"184929912.0000";"184929912.0000";"184929912.0000";"0.015570300147166";"184929912.0000";"184929912.0000";;"0.015570300147166";;"";"0";"";"";;"";"4";;"";;"";;"";;"SIEMENS AG";"W38RGI023J3WT1HWRP32";"1";"SIEMENS AG";"W38RGI023J3WT1HWRP32";"1";"DE";"1";"C2790";"NC";;"N";"N";;"";;"";;"1985-01-02";;"";;"";;"";;"";;"";;"";;"";;"SIEMENS AG";"W38RGI023J3WT1HWRP32";"1";"SIEMENS AG";"W38RGI023J3WT1HWRP32";"1";"DE";"1";;"1";"0";;"0";;"0";;"";"0";"0";"0.00718";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";;"";"1";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
"IE00B1YZSC51";"1";"iShares Core MSCI Europe UCITS ETF - Common Pool";"EUR";"11877093585.36";"2025-12-31";"2026-01-06";"32.025";"";"0.0051";"0.0002";"Y";"FR31";"1";"FR0000121014";"1";"";"LVMH";"";"253901";;"";"EUR";"163766145.0000";"163766145.0000";"163766145.0000";"163766145.0000";"0.013788402341284";"163766145.0000";"163766145.0000";;"0.013788402341284";;"";"0";"";"";;"";"2";;"";;"";;"";;"LVMH MOET HENNESSY LOUIS VUITTON SE";"IOG4E947OATN0KJYSD45";"1";"LVMH MOET HENNESSY LOUIS VUITTON SE";"IOG4E947OATN0KJYSD45";"1";"FR";"1";"C1413";"NC";;"N";"N";;"";;"";;"1987-11-03";;"";;"";;"";;"";;"";;"";;"";;"LVMH MOET HENNESSY LOUIS VUITTON SE";"IOG4E947OATN0KJYSD45";"1";"LVMH MOET HENNESSY LOUIS VUITTON SE";"IOG4E947OATN0KJYSD45";"1";"FR";"1";;"1";"0";;"0";;"0";;"";"0";"0";"0.00636";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";;"";"1";"5493004330BCAPB3GT42";"1";"BLACKROCK ASSET MANAGEMENT IRELAND LTD";"K6630";"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"IE";"";"";"0.0002";"0";"0";;"";;"";"3L";"0";"";"";"";"";"0";"";"";"";"9";"";"0";"";"";"1";"";"V7.0"
