"1_Portfolio_identifying_data";"2_Type_of_identification_code_for_the_fund_share_or_portfolio";"3_Portfolio_name";"4_Portfolio_currency_(B)";"5_Net_asset_valuation_of_the_portfolio_or_the_share_class_in_portfolio_currency";"6_Valuation_date";"7_Reporting_date";"8_Share_price";"8b_Total_number_of_shares";"9_Cash_ratio";"10_Portfolio_Modified_Duration";"11_Complete_SCR_Delivery";"12_CIC_code_of_the_instrument";"13_Economic_zone_of_the_quotation_place";"14_Identification_code_of_the_instrument";"15_Type_of_identification_code_for_the_instrument";"16_Grouping_code_for_multiple_leg_instruments";"17_Instrument_name";"17b_Asset_Liability";"18_Quantity";"19_Nominal_amount";"20_Contract_size_for_derivatives";"21_Quotation_currency_(A)";"22_Market_valuation_in_quotation_currency_(A)";"23_Clean_market_valuation_in_quotation_currency_(A)";"24_Market_valuation_in_portfolio_currency_(B)";"25_Clean_market_valuation_in_portfolio_currency_(B)";"26_Valuation_weight";"27_Market_exposure_amount_in_quotation_currency_(A)";"28_Market_exposure_amount_in_portfolio_currency_(B)";"29_Market_exposure_amount_for_the_3rd_quotation_currency_(C)";"30_Market_Exposure_in_weight";"31_Market_exposure_for_the_3rd_currency_in_weight_over_NAV";"32_Interest_rate_type";"33_Coupon_rate";"34_Interest_rate_reference_identification";"35_Identification_type_for_interest_rate_index";"36_Interest_rate_index_name";"37_Interest_rate_Margin";"38_Coupon_payment_frequency";"39_Maturity_date";"40_Redemption_type";"41_Redemption_rate";"42_Callable_putable";"43_Call_put_date";"44_Issuer_bearer_option_exercise";"45_Strike_price_for_embedded_(call_put)_options";"46_Issuer_name";"47_Issuer_identification_code";"48_Type_of_identification_code_for_issuer";"49_Name_of_the_group_of_the_issuer";"50_Identification_of_the_group";"51_Type_of_identification_code_for_issuer_group";"52_Issuer_country";"53_Issuer_economic_area";"54_Economic_sector";"55_Covered_not_covered";"56_Securitisation";"57_Explicit_guarantee_by_the_country_of_issue";"58_Subordinated_debt";"58b_Nature_of_the_tranche";"59_Credit_quality_step";"60_Call_Put_Cap_Floor";"61_Strike_price";"62_Conversion_factor_(convertibles)_concordance_factor_parity_(options)";"63_Effective_date_of_instrument";"64_Exercise_type";"65_Hedging_rolling";"67_CIC_of_the_underlying_asset";"68_Identification_code_of_the_underlying_asset";"69_Type_of_identification_code_for_the_underlying_asset";"70_Name_of_the_underlying_asset";"71_Quotation_currency_of_the_underlying_asset_(C)";"72_Last_valuation_price_of_the_underlying_asset";"73_Country_of_quotation_of_the_underlying_asset";"74_Economic_area_of_quotation_of_the_underlying_asset";"75_Coupon_rate_of_the_underlying_asset";"76_Coupon_payment_frequency_of_the_underlying_asset";"77_Maturity_date_of_the_underlying_asset";"78_Redemption_profile_of_the_underlying_asset";"79_Redemption_rate_of_the_underlying_asset";"80_Issuer_name_of_the_underlying_asset";"81_Issuer_identification_code_of_the_underlying_asset";"82_Type_of_issuer_identification_code_of_the_underlying_asset";"83_Name_of_the_group_of_the_issuer_of_the_underlying_asset";"84_Identification_of_the_group_of_the_underlying_asset";"85_Type_of_the_group_identification_code_of_the_underlying_asset";"86_Issuer_country_of_the_underlying_asset";"87_Issuer_economic_area_of_the_underlying_asset";"88_Explicit_guarantee_by_the_country_of_issue_of_the_underlying_asset";"89_Credit_quality_step_of_the_underlying_asset";"90_Modified_duration_to_maturity_date";"91_Modified_duration_to_next_option_exercise_date";"92_Credit_sensitivity";"93_Sensitivity_to_underlying_asset_price_(delta)";"94_Convexity_gamma_for_derivatives";"94b_Vega";"95_Identification_of_the_original_portfolio_for_positions_embedded_in_a_fund";"97_SCR_mrkt_IR_up_weight_over_NAV";"98_SCR_mrkt_IR_down_weight_over_NAV";"99_SCR_mrkt_eq_type1_weight_over_NAV";"100_SCR_mrkt_eq_type2_weight_over_NAV";"101_SCR_mrkt_prop_weight_over_NAV";"102_SCR_mrkt_spread_bonds_weight_over_NAV";"103_SCR_mrkt_spread_structured_weight_over_NAV";"104_SCR_mrkt_spread_derivatives_up_weight_over_NAV";"105_SCR_mrkt_spread_derivatives_down_weight_over_NAV";"105a_SCR_mrkt_FX_up_weight_over_NAV";"105b_SCR_mrkt_FX_down_weight_over_NAV";"106_Asset_pledged_as_collateral";"107_Place_of_deposit";"108_Participation";"110_Valorisation_method";"111_Value_of_acquisition";"112_Credit_rating";"113_Rating_agency";"114_Issuer_economic_area";"115_Fund_issuer_code";"116_Fund_issuer_code_type";"117_Fund_issuer_name";"118_Fund_issuer_sector";"119_Fund_issuer_group_code";"120_Fund_issuer_group_code_type";"121_Fund_issuer_group_name";"122_Fund_issuer_country";"123_Fund_CIC";"123a_Fund_custodian_country";"124_Duration";"125_Accrued_income_(Security Denominated Currency)";"126_Accrued_income_(Portfolio Denominated Currency)";"127_Bond_floor_(convertible_instrument_only)";"128_Option_premium_(convertible_instrument_only)";"129_Valuation_yield";"130_Valuation_z_spread";"131_Underlying_asset_category";"132_Infrastructure_investment";"133_custodian_name";"134_type1_private_equity_portfolio_eligibility";"135_type1_private_equity_issuer_beta";"137_Counterparty_sector";"138_Collateral_eligibility";"139_Collateral_market_valuation_in_portfolio_currency";"140_Custodian_identification_code";"141_Type_of_custodian_identification_code";"142_Bail-in_Rule";"143_Maturity_date_expected";"144_Modified_duration_to_maturity_date_expected";"145_Credit_sensitivity_expected";"146_PIK";"147_Infrastructure_investment_additional_QRT";"148_Economic_sector_NACE2.1";"1000_TPT_Version"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"ES21";"1";"XS2393001891";"1";"";"GRIFOLS SA        RegS";"";;"6636000";;"EUR";"6617078.0211";"6563506.1461";"6617078.0211";"6563506.1461";"0.013936891";"6617078.0211";"6617078.0211";;"0.013936891";;"Fixed";"3.875";"";"";;"";"2";"2028-10-15";"Bullet";;"Cal";"2026-01-31";"I";"100.9690";"GRIFOLS SA";"959800HSSNXWRKBK4N60";"1";"GRIFOLS SA";"959800HSSNXWRKBK4N60";"1";"ES";"1";"C2120";"NC";;"N";"N";;"5.0000";;"";;"2021-10-05";;"";;"";;"";;"";;"";;"";;"";;"GRIFOLS SA";"959800HSSNXWRKBK4N60";"1";"GRIFOLS SA";"959800HSSNXWRKBK4N60";"1";"ES";"1";;"5";"2.59599";"0.07365";"2.29425";;"-0.36024";;"";"0.00056";"-0.0004";"0";"0";"0";"0.00271";"0";"0";"0";"0";"0";"";"";"";"";"";"B-";"213800BTXUQP1JZRO283";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"53571.875";"53571.875";;"";"4.33856";"207.10178";"2";"0";"";"";"";"";"0";"";"";"";"2";"2028-10-16";"2.59599";"217.8";"0";"1";"";"V7.0"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"FR13";"1";"FR0014003S56";"1";"";"ELECTRICITE DE FRANCE SA   RegS";"";;"6000000";;"EUR";"5952098.9589";"5860188.0000";"5952098.9589";"5860188.0000";"0.0125363117522";"5952098.9589";"5952098.9589";;"0.0125363117522";;"Variable";"2.625";"5Y EUR CMS";"";"5Y EURIBO";"3.86";"1";"2079-12-31";"Bullet";;"Cal";"2027-12-01";"I";"100.0000";"ELECTRICITE DE FRANCE SA";"549300X3UK4GG3FNMO06";"1";;"";;"FR";"1";"D3511";"NC";;"N";"Y";;"4.0000";;"";;"2021-06-01";;"";;"";;"";;"";;"";;"";;"";;"ELECTRICITE DE FRANCE SA";"549300X3UK4GG3FNMO06";"1";"FRANCE (REPUBLIC OF)";"969500KCGF3SUYJHPV70";"1";"FR";"1";;"3";"1.83156";"1.83156";"1.86635";;"0.04408";;"";"0.00036";"-0.00034";"0";"0";"0";"0.00105";"0";"0";"0";"0";"0";"";"";"";"";"";"Ba2";"549300M5JMGHVTWYZH47";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"91910.9589";"91910.9589";;"";"4.57337";"241.17294";"1";"0";"";"";"";"";"0";"";"";"";"9";"2027-12-01";"1.83156";"246.6";"0";"1";"";"V7.0"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"US21";"2";"XS2332250708";"1";"";"ORGANON & CO      RegS";"";;"5625000";;"EUR";"5487102.9938";"5460149.8688";"5487102.9938";"5460149.8688";"0.011556937178126";"5487102.9938";"5487102.9938";;"0.011556937178126";;"Fixed";"2.875";"";"";;"";"2";"2028-04-30";"Bullet";;"Cal";"2026-02-13";"I";"100.7190";"ORGANON & CO";"549300AMCKY57OK2CO56";"1";"ORGANON & CO";"549300AMCKY57OK2CO56";"1";"US";"2";"C2120";"NC";;"N";"N";;"4.0000";;"";;"2021-04-22";;"";;"";;"";;"";;"";;"";;"";;"ORGANON & CO";"549300AMCKY57OK2CO56";"1";"ORGANON & CO";"549300AMCKY57OK2CO56";"1";"US";"2";;"4";"2.21556";"0.06898";"2.25661";;"0.01784";;"";"0.0004";"-0.00037";"0";"0";"0";"0.00115";"0";"0";"0";"0";"0";"";"";"";"";"";"BB";"5493008B2TU3S6QE1E12";"2";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"26953.125";"26953.125";;"";"4.20527";"203.49469";"2";"0";"";"";"";"";"0";"";"";"";"2";"2028-05-02";"2.21556";"207.0";"0";"1";"";"V7.0"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"JP21";"2";"XS1793255941";"1";"";"SOFTBANK GROUP CORP        RegS";"";;"5000000";;"EUR";"5135282.6333";"5083199.3000";"5135282.6333";"5083199.3000";"0.010815933080344";"5135282.6333";"5135282.6333";;"0.010815933080344";;"Fixed";"5";"";"";;"";"2";"2028-04-15";"Bullet";;"Cal";"2028-01-16";"I";"100.0000";"SOFTBANK GROUP CORP";"5493003BZYYYCDIO0R13";"1";"SOFTBANK GROUP CORP";"5493003BZYYYCDIO0R13";"1";"JP";"2";"J6120";"NC";;"N";"N";;"4.0000";;"";;"2018-04-03";;"";;"";;"";;"";;"";;"";;"";;"SOFTBANK GROUP CORP";"5493003BZYYYCDIO0R13";"1";"SOFTBANK GROUP CORP";"5493003BZYYYCDIO0R13";"1";"JP";"2";;"4";"2.1289";"1.91011";"2.01483";;"-0.02302";;"";"0.00034";"-0.00031";"0";"0";"0";"0.00093";"0";"0";"0";"0";"0";"";"";"";"";"";"Ba2";"549300M5JMGHVTWYZH47";"2";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"52083.33333";"52083.33333";;"";"4.22758";"205.71165";"2";"0";"";"";"";"";"0";"";"";"";"2";"2028-01-16";"1.91011";"202.3";"0";"1";"";"V7.0"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"FR21";"1";"XS2294186965";"1";"";"CAB SELAS         RegS";"";;"5175000";;"EUR";"5095352.8688";"5023064.5875";"5095352.8688";"5023064.5875";"0.010731833003974";"5095352.8688";"5095352.8688";;"0.010731833003974";;"Fixed";"3.375";"";"";;"";"2";"2028-02-01";"Bullet";;"Cal";"2026-02-01";"I";"100.0000";"CAB SELAS";"9695008EGX5O9K1MS743";"1";"LABORATOIRE EIMER SELAS (WISSEMBOURG)";"969500DCZL54LLTFEM37";"1";"FR";"1";"Q8690";"NC";;"N";"N";;"5.0000";;"";;"2021-02-09";;"";;"";;"";;"";;"";;"";;"";;"CAB SELAS";"9695008EGX5O9K1MS743";"1";"LABORATOIRE EIMER SELAS (WISSEMBOURG)";"969500DCZL54LLTFEM37";"1";"FR";"1";;"5";"1.95516";"0.06863";"2.00224";;"0.0208";;"";"0.00033";"-0.00031";"0";"0";"0";"0.00157";"0";"0";"0";"0";"0";"";"";"";"";"";"B";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"72288.28125";"72288.28125";;"";"4.92997";"271.54752";"2";"0";"";"";"";"";"0";"";"";"";"2";"";"1.95516";"280.8";"0";"1";"";"V7.0"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"DE21";"1";"XS2199597456";"1";"";"VERTICAL MIDCO GMBH        RegS";"";;"4900000";;"EUR";"5015469.3493";"4917214.1410";"5015469.3493";"4917214.1410";"0.010563582322965";"5015469.3493";"5015469.3493";;"0.010563582322965";;"Fixed";"4.375";"";"";;"";"2";"2027-07-15";"Bullet";;"Cal";"2026-01-31";"I";"100.0000";"TK ELEVATOR MIDCO GMBH";"254900K869UN2ZWVB351";"1";"VERTICAL MANCO & GMBH CO KG";;"9";"DE";"1";"K6430";"NC";;"N";"N";;"5.0000";;"";;"2020-07-15";;"";;"";;"";;"";;"";;"";;"";;"TK ELEVATOR MIDCO GMBH";"254900K869UN2ZWVB351";"1";"VERTICAL MANCO & GMBH CO KG";;"9";"DE";"1";;"5";"1.44856";"0.08238";"0.08131";;"0.00037";;"";"0.00001";"-0.00001";"0";"0";"0";"0.00079";"0";"0";"0";"0";"0";"";"";"";"";"";"B";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"98255.20833";"98255.20833";;"";"4.17905";"206.30544";"2";"0";"";"";"";"";"0";"";"";"";"1";"2026-01-30";"0.08238";"-100.0";"0";"1";"";"V7.0"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"FR21";"1";"FR001400EA16";"1";"";"VALEO SE MTN RegS";"";;"4300000";;"EUR";"4561461.2826";"4424052.7210";"4561461.2826";"4424052.7210";"0.009607350462351";"4561461.2826";"4561461.2826";;"0.009607350462351";;"Fixed";"5.375";"";"";;"";"1";"2027-05-28";"Bullet";;"Cal";"2027-02-28";"I";"100.0000";"VALEO SE";"5493006IH2N2WMIBB742";"1";"VALEO SE";"5493006IH2N2WMIBB742";"1";"FR";"1";"C2825";"NC";;"N";"N";;"4.0000";;"";;"2022-11-28";;"";;"";;"";;"";;"";;"";;"";;"VALEO SE";"5493006IH2N2WMIBB742";"1";"VALEO SE";"5493006IH2N2WMIBB742";"1";"FR";"1";;"4";"1.31308";"1.10299";"1.12376";;"0.0145";;"";"0.00016";"-0.00017";"0";"0";"0";"0.00048";"0";"0";"0";"0";"0";"";"";"";"";"";"BB";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"137408.56164";"137408.56164";;"";"3.22729";"114.14525";"2";"0";"";"";"";"";"0";"";"";"";"2";"2027-02-28";"1.10299";"77.5";"0";"1";"";"V7.0"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"JP25";"2";"XS2332889778";"1";"";"RAKUTEN GROUP INC RegS";"";;"4500000";;"EUR";"4497451.2185";"4364886.1500";"4497451.2185";"4364886.1500";"0.009472532455289";"4497451.2185";"4497451.2185";;"0.009472532455289";;"Variable";"4.25";"5Y EUR CMS";"";"5Y EURIBO";"5.49";"1";"2079-12-31";"Bullet";;"Cal";"2027-04-22";"I";"100.0000";"RAKUTEN GROUP INC";"529900IMXUCQKUL1H943";"1";"RAKUTEN GROUP INC";"529900IMXUCQKUL1H943";"1";"JP";"2";"J6312";"NC";;"N";"Y";;"5.0000";;"";;"2021-04-22";;"";;"";;"";;"";;"";;"";;"";;"RAKUTEN GROUP INC";"529900IMXUCQKUL1H943";"1";"RAKUTEN GROUP INC";"529900IMXUCQKUL1H943";"1";"JP";"2";;"4";"0.9321";"1.22479";"1.26516";;"0.01048";;"";"0.00018";"-0.00019";"0";"0";"0";"0.0009";"0";"0";"0";"0";"0";"";"";"";"";"";"B";"5493008B2TU3S6QE1E12";"2";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"132565.06849";"132565.06849";;"";"7.41063";"445.81291";"2";"0";"";"";"";"";"0";"";"";"";"2";"2027-04-22";"1.22479";"467.2";"0";"1";"";"V7.0"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"SE25";"1";"XS2380124227";"1";"";"CASTELLUM AB      RegS";"";;"4450000";;"EUR";"4494061.7518";"4378239.8340";"4494061.7518";"4378239.8340";"0.009465393560031";"4494061.7518";"4494061.7518";;"0.009465393560031";;"Variable";"3.125";"5Y EUR CMS";"";"5Y EURIBO";"4.454";"1";"2079-12-31";"Bullet";;"Cal";"2026-12-02";"I";"100.0000";"CASTELLUM AB";"549300GU5OHTR1T5IY68";"1";"CASTELLUM AB";"549300GU5OHTR1T5IY68";"1";"SE";"1";"L6810";"NC";;"N";"Y";;"4.0000";;"";;"2021-09-02";;"";;"";;"";;"";;"";;"";;"";;"CASTELLUM AB";"549300GU5OHTR1T5IY68";"1";"CASTELLUM AB";"549300GU5OHTR1T5IY68";"1";"SE";"1";;"3";"0.84057";"0.88608";"0.89742";;"0.00623";;"";"0.00013";"-0.00014";"0";"0";"0";"0.00043";"0";"0";"0";"0";"0";"";"";"";"";"";"Ba1";"549300M5JMGHVTWYZH47";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"115821.91781";"115821.91781";;"";"6.58574";"285.06601";"2";"0";"";"";"";"";"0";"";"";"";"2";"2026-12-02";"0.88608";"292.6";"0";"1";"";"V7.0"
"STARCHY";"99";"Star Cardinal";"EUR";"474788683.99";"2025-12-31";"2026-01-07";"1";"";"0.0269";"1.5714";"Y";"IT21";"1";"XS2637954582";"1";"";"TELECOM ITALIA SPA         RegS";"";;"3650000";;"EUR";"4188467.2299";"4068961.9650";"4188467.2299";"4068961.9650";"0.008821750330595";"4188467.2299";"4188467.2299";;"0.008821750330595";;"Fixed";"7.875";"";"";;"";"2";"2028-07-31";"Bullet";;"Cal";"2028-04-30";"I";"100.0000";"TELECOM ITALIA SPA";"549300W384M3RI3VXU42";"1";"TELECOM ITALIA SPA";"549300W384M3RI3VXU42";"1";"IT";"1";"J6110";"NC";;"N";"N";;"4.0000";;"";;"2023-07-20";;"";;"";;"";;"";;"";;"";;"";;"TELECOM ITALIA SPA";"549300W384M3RI3VXU42";"1";"TELECOM ITALIA SPA";"549300W384M3RI3VXU42";"1";"IT";"1";;"4";"2.29608";"2.09487";"2.12089";;"0.04591";;"";"0.00028";"-0.00027";"0";"0";"0";"0.00083";"0";"0";"0";"0";"0";"";"";"";"";"";"BB";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"1.5714";"119505.26495";"119505.26495";;"";"3.23403";"103.94153";"2";"0";"";"";"";"";"0";"";"";"";"2";"2028-04-30";"2.09487";"63.9";"0";"1";"";"V7.0"
